Generated at 12/02/2022, 11:23:53
number of vacancies: 16
flutter: 16
android: 15
ios: 12
dart: 8
solid: 8
git: 7
rest: 5
firebase: 4
clean architecture: 3
mvp: 3
mvvm: 3
redux: 3
java: 2
kotlin: 2
swift: 2
ci/cd: 2
android sdk: 1
bloc: 1
github: 1
graphql: 1
macos: 1
objective-c: 1
react: 1
react native: 1
retrofit: 1
sqlite: 1
vision: 1
webrtc: 1
websockets: 1
xamarin: 1
